2017/10/30 18:43:57 Starting Registry Service
2017/10/30 19:08:15 2017-10-30 19:08:15.196463405 +0200 IST Starting Registry Service
2017/10/30 19:08:30 2017-10-30 19:08:30.128436137 +0200 IST Configuration  has 0 valid instances
2017/10/30 19:25:13 2017-10-30 19:25:13.305411344 +0200 IST Authentication successrate is  100
2017/10/30 19:25:17 2017-10-30 19:25:17.165687628 +0200 IST Bot successrate is  100
2017/10/30 19:25:17 2017-10-30 19:25:17.166609772 +0200 IST Bot successrate is  100
2017/10/30 19:25:17 2017-10-30 19:25:17.166974553 +0200 IST Authentication successrate is  100
2017/10/30 19:25:17 2017-10-30 19:25:17.168298358 +0200 IST Bot successrate is  100
2017/10/30 19:25:17 2017-10-30 19:25:17.168966166 +0200 IST Bot successrate is  100
2017/10/30 19:25:17 2017-10-30 19:25:17.1691835 +0200 IST Authentication successrate is  100
2017/10/30 19:25:17 2017-10-30 19:25:17.169832495 +0200 IST User successrate is  100
2017/10/30 19:25:17 2017-10-30 19:25:17.170378044 +0200 IST User successrate is  100
2017/10/30 19:25:17 2017-10-30 19:25:17.170494238 +0200 IST Bot successrate is  100
2017/10/30 19:25:17 2017-10-30 19:25:17.170779527 +0200 IST Authentication successrate is  100
2017/10/30 19:25:17 2017-10-30 19:25:17.170812565 +0200 IST Authentication successrate is  100
2017/10/30 19:25:17 2017-10-30 19:25:17.171808557 +0200 IST User successrate is  100
2017/10/30 19:25:17 2017-10-30 19:25:17.172134572 +0200 IST Authentication successrate is  100
2017/10/30 19:25:17 2017-10-30 19:25:17.172658378 +0200 IST Authentication successrate is  100
2017/10/30 19:25:17 2017-10-30 19:25:17.173157135 +0200 IST Authentication successrate is  100
2017/10/30 19:25:17 2017-10-30 19:25:17.173847566 +0200 IST Authentication successrate is  100
2017/10/30 19:25:17 2017-10-30 19:25:17.174742924 +0200 IST User successrate is  100
2017/10/30 19:25:17 2017-10-30 19:25:17.178620137 +0200 IST User successrate is  100
2017/10/30 19:25:17 2017-10-30 19:25:17.179161015 +0200 IST Authentication successrate is  100
2017/10/30 19:25:17 2017-10-30 19:25:17.180114163 +0200 IST Authentication successrate is  100
2017/10/30 19:26:13 2017-10-30 19:26:13.299617145 +0200 IST Bot successrate is  100
